Id,GrLivArea,Street,OverallQual,GarageCars,GarageArea,LandSlope,TotRmsAbvGrd,Utilities,FullBath,X1stFlrSF,TotalBsmtSF,age,YearBuilt,YearRemodAdd,Fireplaces,GarageYrBlt,MasVnrArea,LotArea,X2ndFlrSF,BedroomAbvGr,BsmtFinSF1,HalfBath,SalePrice
1000,1828,Pave,5,2,480,Gtl,6,AllPub,2,942,859,84,1923,1999,0,1979,0,9060,886,3,548,0,176889.1715
1001,816,Pave,5,1,100,Gtl,5,AllPub,1,816,816,85,1922,1950,0,1922,0,3672,0,2,0,0,159638.8562
1002,845,Pave,2,1,256,Gtl,4,AllPub,1,640,0,68,1939,1950,0,1950,0,11067,0,1,0,0,154287.2644
1003,1991,Pave,5,0,0,Gtl,9,AllPub,2,1034,957,112,1895,2006,0,1979,0,8250,957,4,0,0,191885.6182
1004,1073,Pave,4,2,720,Gtl,6,AllPub,1,1073,1073,50,1957,1980,0,1985,0,6565,0,3,967,0,177503.3786
1005,1001,Pave,5,1,216,Gtl,5,AllPub,1,1001,837,77,1930,2007,0,1930,0,6060,0,2,737,0,166548.3168
1006,1625,Pave,8,2,495,Mod,5,AllPub,2,1625,1573,1,2006,2007,1,2006,473,5568,0,2,1573,0,164475.1494
1007,1299,Pave,6,2,486,Gtl,5,AllPub,2,1299,1001,28,1979,1979,1,1979,0,12150,0,2,1001,0,167484.7449
1008,1392,Pave,5,3,650,Gtl,6,AllPub,2,1392,1441,5,2002,2002,1,2002,166,10000,0,3,585,0,188683.1606
1009,1409,Pave,7,2,576,Gtl,,AllPub,1,1409,1409,5,2002,2002,1,2002,0,12864,0,1,1392,1,162243.3995
1010,1478,Pave,7,2,506,Gtl,,AllPub,2,1478,1454,16,1991,1992,1,1991,0,9928,0,3,1239,0,180807.2139
1011,918,Pave,7,1,360,Gtl,,AllPub,1,918,852,32,1975,1975,0,1975,50,8750,0,3,224,0,176279.0796
1012,1026,Pave,6,2,528,Gtl,,AllPub,1,1026,970,33,1974,1974,1,1974,0,8410,0,2,924,0,163438.9591
1013,1501,Pave,7,2,512,Gtl,5,AllPub,2,1501,1501,20,1987,1987,2,1987,352,4054,0,2,949,0,161495.5394
1014,2279,Pave,6,2,461,Gtl,7,AllPub,2,2279,585,49,1958,1995,1,1958,1224,19958,0,4,0,1,216032.3037
1015,1689,Pave,7,2,433,Gtl,7,AllPub,2,1689,1689,1,2006,2007,0,2007,0,8368,0,3,0,0,176632.1815
1016,1564,Pave,8,2,502,Gtl,6,AllPub,2,1564,1546,1,2006,2007,1,2207,0,8298,0,2,583,0,168743.0016
1017,1240,Pave,7,2,528,Gtl,6,AllPub,2,1240,1265,22,1985,1985,0,1985,0,10331,0,3,215,0,183810.1185
1018,1312,Pave,8,2,471,Gtl,5,AllPub,2,1312,1267,6,2001,2001,0,2001,86,6718,0,2,250,0,156794.3605
1019,1922,Pave,8,3,692,Gtl,6,AllPub,2,1922,1922,5,2002,2002,1,2002,886,11305,0,2,1329,0,169136.4301
1020,1491,Pave,6,2,571,Gtl,7,AllPub,2,1491,1491,11,1996,1996,1,1996,203,7777,0,3,0,0,183203.3188
1021,2486,Pave,7,2,452,Gtl,10,AllPub,3,1146,,4,2003,2004,1,2003,94,11800,1340,5,766,1,213252.9269
1022,1824,Pave,10,3,932,Gtl,8,AllPub,2,1824,1824,1,2006,2007,1,2006,242,12633,0,3,0,0,190550.3279
1023,2034,Pave,3,4,1041,Gtl,9,AllPub,1,,0,54,1953,1953,0,1953,0,43500,0,2,0,0,234707.2099
